S. No.,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Severity,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Hotspot
1,5542127,HN346682,1/16/07 5:05 AM,013XX W 14TH ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),High,CHA PARKING LOT/GROUNDS,TRUE,FALSE,1231,12,2,28,18,1167761,1893524,2007,04/15/2016 08:55:02 AM,41.86337523,-87.65963666,"(41.863375231, -87.659636657)",Yes
2,5542130,HN351831,1/19/07 6:05 AM,082XX S MARSHFIELD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,High,STREET,FALSE,FALSE,614,6,21,71,14,1166775,1850073,2007,04/15/2016 08:55:02 AM,41.74416188,-87.66449738,"(41.744161877, -87.664497379)",Yes
3,5542131,HN351855,1/19/07 8:55 AM,027XX S PRINCETON AVE,850,THEFT,ATTEMPT THEFT,Low,STREET,FALSE,FALSE,2113,9,11,34,6,1174740,1886293,2007,04/15/2016 08:55:02 AM,41.84337969,-87.63423361,"(41.843379692, -87.634233611)",No
4,5542133,HN348827,1/17/07 7:45 PM,035XX W ROOSEVELT RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,SIDEWALK,TRUE,FALSE,1021,10,24,29,18,1152873,1894479,2007,04/15/2016 08:55:02 AM,41.86630345,-87.71426427,"(41.866303448, -87.714264266)",Yes
5,5542136,HN351949,1/19/07 10:25 AM,079XX S PAULINA ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,APARTMENT,FALSE,TRUE,611,6,21,71,08B,1166393,1851994,2007,04/15/2016 08:55:02 AM,41.74944152,-87.66584247,"(41.749441515, -87.665842468)",No
6,5542137,HN353838,1/20/07 12:00 AM,020XX N DAYTON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,High,STREET,FALSE,FALSE,1812,18,43,7,14,1170289,1913850,2007,04/15/2016 08:55:02 AM,41.91909628,-87.64976219,"(41.919096283, -87.649762191)",Yes
7,5542139,HN348646,1/17/07 6:34 PM,012XX S HARDING AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,VACANT LOT/LAND,TRUE,FALSE,1011,10,24,29,18,1150242,1894150,2007,04/15/2016 08:55:02 AM,41.86545229,-87.72393155,"(41.865452292, -87.723931552)",Yes
8,5542140,HN350236,1/18/07 1:30 PM,077XX S INGLESIDE AVE,545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,Medium,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,624,6,8,69,08A,1183899,1853859,2007,04/15/2016 08:55:02 AM,41.75416869,-87.60163576,"(41.754168689, -87.601635756)",Yes
9,5542141,HN352420,1/17/07 9:00 AM,036XX S ROCKWELL ST,890,THEFT,FROM BUILDING,Medium,RESIDENCE,FALSE,FALSE,913,9,12,58,6,1159624,1880571,2007,04/15/2016 08:55:02 AM,41.82800213,-87.68986323,"(41.828002125, -87.689863226)",No
10,5542142,HN350451,1/18/07 3:30 PM,076XX S EMERALD AVE,460,BATTERY,SIMPLE,Low,STREET,FALSE,TRUE,621,6,17,71,08B,1172628,1854114,2007,04/15/2016 08:55:02 AM,41.75512406,-87.64293259,"(41.755124062, -87.642932591)",No
11,5542143,HN352131,1/19/07 12:00 PM,075XX S RACINE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,STREET,FALSE,TRUE,612,6,17,71,08B,1169626,1854847,2007,04/15/2016 08:55:02 AM,41.75720109,-87.65391288,"(41.757201092, -87.653912882)",No
12,5542145,HN352145,1/19/07 11:28 AM,050XX S WINCHESTER AVE,2027,NARCOTICS,POSS: CRACK,High,RESIDENCE,TRUE,FALSE,915,9,16,61,18,1164206,1871197,2007,04/15/2016 08:55:02 AM,41.80218339,-87.67331649,"(41.802183389, -87.673316489)",Yes
